p,Points_0,Points_1,Points_2,U_0,U_1,U_2
-1.387784e-02,2.270000e-01,5.000000e-01,5.000000e-02,-5.485391e-02,1.361704e-01,0.000000e+00
-1.390673e-02,2.280000e-01,5.000000e-01,5.000000e-02,-5.523281e-02,1.362640e-01,0.000000e+00
-1.393563e-02,2.290000e-01,5.000000e-01,5.000000e-02,-5.561170e-02,1.363575e-01,0.000000e+00
-1.396452e-02,2.300000e-01,5.000000e-01,5.000000e-02,-5.599060e-02,1.364510e-01,0.000000e+00
-1.399341e-02,2.310000e-01,5.000000e-01,5.000000e-02,-5.636949e-02,1.365446e-01,0.000000e+00
-1.402230e-02,2.320000e-01,5.000000e-01,5.000000e-02,-5.674838e-02,1.366381e-01,0.000000e+00
-1.405120e-02,2.330000e-01,5.000000e-01,5.000000e-02,-5.712727e-02,1.367316e-01,0.000000e+00
-1.408009e-02,2.340000e-01,5.000000e-01,5.000000e-02,-5.750616e-02,1.368252e-01,0.000000e+00
-1.410955e-02,2.350000e-01,5.000000e-01,5.000000e-02,-5.788756e-02,1.369034e-01,0.000000e+00
-1.413934e-02,2.360000e-01,5.000000e-01,5.000000e-02,-5.827045e-02,1.369724e-01,0.000000e+00
-1.416914e-02,2.370000e-01,5.000000e-01,5.000000e-02,-5.865334e-02,1.370414e-01,0.000000e+00
